入场日期,累计收益,年化收益,最大回撤,夏普比率,水下最长天数,持有天数
2016-05-02,3.9146423880594376,0.17653850319806996,-0.25504107542942456,0.6257711312014882,671,2468
2016-05-03,3.9236251607018025,0.17683553727043022,-0.25504107542942456,0.6269163541086292,671,2467
2016-05-04,3.9418048175196736,0.17735658273421118,-0.2550410754294248,0.6290249065663605,671,2466
2016-05-05,3.967754766629036,0.17806516268138317,-0.2550410754294249,0.6319424779480762,671,2465
2016-05-06,3.97436273600633,0.17830369436992122,-0.25504107542942467,0.632834645176799,671,2464
2016-05-09,3.933444671859399,0.17738676561048816,-0.25504107542942467,0.6288275515128273,671,2463
2016-05-10,4.031646569394199,0.17984269334158665,-0.25504107542942456,0.6394209212543257,671,2462
2016-05-11,4.0215913045696245,0.17968031642054472,-0.25504107542942467,0.6385991428976642,671,2461
2016-05-12,3.9784139323707928,0.17871638966813896,-0.2550410754294248,0.6343946653952526,671,2460
2016-05-13,4.029735757063652,0.18003483571625623,-0.25504107542942467,0.6399605127557887,671,2459
2016-05-16,3.9929197093319537,0.1792257960918746,-0.2550410754294248,0.6364060663615833,671,2458
2016-05-17,3.9914300578633135,0.1792688297395857,-0.2550410754294248,0.6364601613527698,671,2457
2016-05-18,3.969113795352591,0.17880590286531284,-0.25504107542942467,0.6343653539625315,671,2456
2016-05-19,4.054047132872908,0.18093753060101014,-0.2550410754294249,0.6435068153859415,671,2455
2016-05-20,4.068431892832053,0.1813623060086933,-0.25504107542942467,0.6451941407145243,671,2454
2016-05-23,4.078270127726446,0.18167796235905653,-0.25504107542942467,0.6464122756081717,671,2453
2016-05-24,4.089490847555227,0.1820265071509597,-0.25504107542942445,0.6477709088256531,671,2452
2016-05-25,4.182045147576384,0.18429955720515845,-0.25504107542942467,0.6575352122745031,671,2451
2016-05-26,4.192075403856589,0.18461691751005982,-0.25504107542942456,0.6587576625202098,671,2450
2016-05-27,4.211911006491477,0.18516379404524774,-0.25504107542942445,0.6609656804025728,671,2449
2016-05-30,4.248406349807037,0.18609772532613,-0.25504107542942467,0.6648453870273521,671,2448
2016-05-31,4.248406349807037,0.18618045389660143,-0.25504107542942467,0.6650621901679111,671,2447
2016-06-01,4.248406349807037,0.18626325588831394,-0.25504107542942467,0.6652791346441809,671,2446
2016-06-02,4.248406349807037,0.1863461313988506,-0.25504107542942467,0.6654962206194461,671,2445
2016-06-03,4.248406349807037,0.18642908052596696,-0.25504107542942467,0.665713448257258,671,2444
2016-06-06,4.248406349807037,0.18651210336759183,-0.25504107542942467,0.6659308177214323,671,2443
2016-06-07,4.248406349807037,0.18659520002182717,-0.25504107542942467,0.6661483291760486,671,2442
2016-06-08,4.248406349807037,0.1866783705869488,-0.25504107542942467,0.6663659827854573,671,2441
2016-06-09,4.248406349807037,0.1867616151614071,-0.25504107542942467,0.6665837787142695,671,2440
2016-06-10,4.248406349807037,0.18684493384382694,-0.25504107542942467,0.6668017171273714,671,2439
2016-06-13,4.248931242931293,0.18694059590612477,-0.2550410754294249,0.6670720525599849,671,2438
2016-06-14,4.208049487361052,0.18606470279630427,-0.25504107542942456,0.6632438760114945,671,2437
2016-06-15,4.200070750686285,0.1859596757652615,-0.25504107542942467,0.6626618225575321,671,2436
2016-06-16,4.172156630602001,0.18538225921352947,-0.2550410754294248,0.6600859561208117,671,2435
2016-06-17,4.228533097433326,0.18679640557885735,-0.25504107542942456,0.6660398888204416,671,2434
2016-06-20,4.148898095225519,0.18499468008354447,-0.25504107542942456,0.6583838092947049,671,2433
2016-06-21,4.184789351167703,0.18593069466100864,-0.25504107542942467,0.6622603778892612,671,2432
2016-06-22,4.276807905861329,0.18817869846117397,-0.2550410754294248,0.6718785315970082,671,2431
2016-06-23,4.281309021504659,0.18836808182133513,-0.2550410754294248,0.6725462330422749,671,2430
2016-06-24,4.322082566584007,0.18940114227765315,-0.2550410754294249,0.6768392900246121,671,2429
2016-06-27,4.0833347105566205,0.18383331534516345,-0.2550410754294249,0.6543699275569478,671,2428
2016-06-28,4.046695782809899,0.18302673544305503,-0.25504107542942467,0.6508305081369279,671,2427
2016-06-29,4.095808581177942,0.18429949128817813,-0.25504107542942467,0.6561752203930568,671,2426
2016-06-30,4.07061413504469,0.18377223413904953,-0.2550410754294248,0.6538089399511599,671,2425
2016-07-01,4.0589137211241475,0.18357033889519814,-0.25504107542942467,0.6528172680463685,671,2424
2016-07-04,3.9803527243600225,0.18172752890179855,-0.25504107542942456,0.6449868711029314,671,2423
2016-07-05,3.951696518296437,0.18109966245111186,-0.2550410754294248,0.6422004184238828,671,2422
2016-07-06,3.930156291607667,0.18064498857660816,-0.25504107542942467,0.640143528781035,671,2421
